NOMBRE,REGIONAL,CIUDAD,DEPARTAMENTO,DIRECCION
20 DE JULIO,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 8 CALLE 23 SUR
ALKOSTO IPIALES,OCCIDENTE,IPIALES,NARIÑO,CARRERA 5 # 8-26
EDS MOV CHUSACA,BOGOTA,SOACHA,CUNDINAMARCA,KM 5 VIA FUSA
CARULLA VCONTRY,COSTA,BARRANQUILLA,ATLANTICO,CALLE 78 # 53-70 LOCAL 100
CARULLA CALLE 82,COSTA,BARRANQUILLA,ATLANTICO,CARRERA 51 # 82-45
LA 14 TULUA,OCCIDENTE,TULUA,VALLE DEL CAUCA,CARRERA 40 # 37-51
CHIA CENTRO,BOGOTA,CHIA,CUNDINAMARCA,CALLE 12 # 12-22
ÉXITO BELLO,ANTIOQUIA,BELLO,ANTIOQUIA,DIAGONAL 51 # 35-120
MESA DE SANTOS,SANTANDERES,LOS SANTOS,SANTANDER,KM 6 CARRERA PRINCIPAL VIA LOS-SANTOS
EL CARMEN,SANTANDERES,FLORIDABLANCA,SANTANDER,AVENIDA 60 # 134-62 LOCAL 2
SUPERMERCAR NOE,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 100 # 24-70
SAN FERNANDO,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE 72 # 63-06
CASTILLA MEDELLIN,ANTIOQUIA,MEDELLIN,ANTIOQUIA,CARRERA 68 # 96-68
UNICO YUMBO,OCCIDENTE,YUMBO,VALLE DEL CAUCA,CALLE 15 # 5-100
CRESPO CALLE 70,COSTA,CARTAGENA,BOLIVAR,CALLE 70 # 1D-79 LOCAL 2
GUADUAS,BOGOTA,GUADUAS,CUNDINAMARCA,CARRERA 4 # 4-15
JAMUNDI,OCCIDENTE,JAMUNDI,VALLE DEL CAUCA,CARRERA 11 # 10-35
AUTOPISTA FLORIDABLANCA,SANTANDERES,FLORIDABLANCA,SANTANDER,AUTOPISTA FLORIDA # 144-158 LOCAL E
EDIFICIO 13-35,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 13 CON 35
OLIMPICA SOL REAL,COSTA,SOLEDAD,ATLANTICO,CARRERA 19 # 25B-77
QUINTAS DEL SUR,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE 70C SUR # 17A-55
ALKOSTO AVENIDA 68,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA 68 CARRERA 68-72
EDS PASTRANITA,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA VILLAVICENCIO CON 1 DE MAYO
UNIVERSIDAD SAN BUENAVENTURA,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 8 # 172-20
ALKOSTO CALI,OCCIDENTE,CALI,VALLE DEL CAUCA,CALLE 13 # 80-170
OLIMPICA AVENIDA SAN CARLOS,COSTA,SINCELEJO,SUCRE,CALLE 15 # 8-158
ACACIAS,BOGOTA,ACACIAS,META,CALLE 19 # 29B-34
USME II,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE 136C SUR # 3-12
OLIMPICA CHINCHINA,CAFETERA,CHINCHINA,CALDAS,CALLE 10 # 7-41 CALDAS
GNB UNIVERSIDAD MANIZALES,CAFETERA,MANIZALES,CALDAS,CARRERA 9 # 19-03
ALAMEDA REAL,SANTANDERES,BUCARAMANGA,SANTANDER,CALLE 55 # 17A-36
CARULLA PALMAS,ANTIOQUIA,MEDELLIN,ANTIOQUIA,CALLE 18 # 35-69
CIUDADELA METROPOLITANA,COSTA,SOLEDAD,ATLANTICO,CALLE 54 # 11A-16
SAN FRANCISCO BOGOTA,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 19 G # 66-67 SUR
CAPITAL TOWERS,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA ESPERANZA # 51-40
SOCORRO,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE 48A SUR # 77G-13
LOS ANGELES MALL,COSTA,BARRANQUILLA,ATLANTICO,CARRERA 23 CALLE 35 ESQUINA
ALQUERIA,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE 37 SUR # 52-67
OLIMPICA LAS GRANJAS,OCCIDENTE,CALI,VALLE DEL CAUCA,CALLE 16 # 43-45
LA MESA,BOGOTA,LA MESA,CUNDINAMARCA,CALLE 4A # 24-98
OLIMPICA EL POBLADO,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 28 D # 72T-72
EURO FRONTERA,ANTIOQUIA,ENVIGADO,ANTIOQUIA,CARRERA 43A # 21SUR-115
UNIVERSIDAD SERGIO ARBOLEDA,COSTA,SANTA MARTA,MAGDALENA,CARRERA 15 # 18A-18
ÉXITO MONTERIA,ANTIOQUIA,MONTERIA,CORDOBA,CARRERA 6 # 62-21
ALKOSTO PASTO,OCCIDENTE,PASTO,NARIÑO,CALLE 22 # 6-28
VILLA PRADO IV,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE 174A # 54BIS-16
RICAURTE,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 28D # 72T-72
CENTRO COMERCIAL PORTAL DE SAN FELIPE,COSTA,CARTAGENA,BOLIVAR,CALLE 30 # 17-109 LOCAL 109
CENTRO COMERCIAL PALMAS MALL,COSTA,BARRANQUILLA,ATLANTICO,CARRERA 51B CALLE 82
METRO 127,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE 127 CARRERA 15
ALKOSTO VENECIA,BOGOTA,BOGOTA,CUNDINAMARCA,AUTOPISTA SUR CARRERA 68
TERMINAL SAN ANDRES SANIN,OCCIDENTE,CALI,VALLE DEL CAUCA,CARRERA 25 # 73A-74
HOTEL RADISSON  CARTAGENA,COSTA,CARTAGENA,BOLIVAR,CARRERA 9 # 22-850 H.PAVILLON
ÉXITO CHAPINERO,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE 53 CARRERA 13
BOSA ESPERANZA,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 79 A # 78-55 SUR
CENTRO COMERCIAL ZAZUE,COSTA,SANTA MARTA,MAGDALENA,CENTRO COMERCIAL ZAZUE
TERMINAL CAÑAVERALEJO,OCCIDENTE,CALI,VALLE DEL CAUCA,CALLE 5 CARRERA 50
GALERIAS TERRON,OCCIDENTE,CALI,VALLE DEL CAUCA,AVENIDA 5 OESTE # 19-01
SAN CRISTOBAL NORTE,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE 162 # 5A
HOSPITAL SAN CARLOS,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 13 # 32-44 SUR
OUTLET FACTORY,BOGOTA,BOGOTA,CUNDINAMARCA,AVENIDA AMERICAS # 62-84 PISO 2
EURO NUTIBARA,ANTIOQUIA,MEDELLIN,ANTIOQUIA,TRANSVERSAL 39 # 52C-4
EL RETIRO,ANTIOQUIA,EL RETIRO,ANTIOQUIA,CALLE 20 # 18-60
ACACIAS,BOGOTA,ACACIAS,META,CARRERA 17 # 12-34
ACEVEDO,SUR,ACEVEDO,HUILA,CARRERA 4 # 6 -19/25 ACEVEDO - HUILA
AGUACHICA I,SANTANDERES,AGUACHICA,CESAR,CALLE 5 # 22-33
AGUADAS,CAFETERA,AGUADAS,CALDAS,CARRERA 6 # 6-21
ALCALA,CAFETERA,ALCALA,VALLE DEL CAUCA,CALLE 5 # 9-27
ALGECIRAS,SUR,ALGECIRAS,HUILA,CARRERA 5 # 6-10
ALPUJARRA,ANTIOQUIA,MEDELLIN,ANTIOQUIA,CALLE 41N # 53-59
AMAGA,ANTIOQUIA,AMAGA,ANTIOQUIA,CARRERA 50 # 50-70 EDIFICIO DEL CAFÉ - PLAZA PRINCIPAL
MEDELLIN AMERICA,ANTIOQUIA,MEDELLIN,ANTIOQUIA,CALLE 44 # 84-11
ANAPOIMA,BOGOTA,ANAPOIMA,CUNDINAMARCA,CALLE 8 # 2-14
ANSERMANUEVO,CAFETERA,ANSERMANUEVO,VALLE DEL CAUCA,CARRERA 4 BIS # 6-93
APARTADO,ANTIOQUIA,APARTADO,ANTIOQUIA,CALLE 100 # 96-18
AQUITANIA,ORIENTAL,AQUITANIA,BOYACA,CALLE 7 # 6-26
ARACATACA,COSTA,ARACATACA,MAGDALENA,CALLE 6 # 2-76 CARRERA 3 # 6-06
ARAUCA I,BOGOTA,ARAUCA,ARAUCA,CALLE 20 # 20-05
ARAUQUITA,BOGOTA,ARAUQUITA,ARAUCA,CALLE 3 # 4-48
ARBOLETES,ANTIOQUIA,ARBOLETES,ANTIOQUIA,CALLE 31 # 28-06
ARMENIA,CAFETERA,ARMENIA,QUINDIO,CARRERA 13 No.17-59 Centro Comercial La 13
AVENIDA TERCERA,OCCIDENTE,CALI,VALLE DEL CAUCA,AVENIDA 3N # 21A-20
BUENAVENTURA,OCCIDENTE,BUENAVENTURA,VALLE DEL CAUCA,CALLE 1 # 3-55 LOCAL 1
BAHIA SOLANO,ANTIOQUIA,BAHIA SOLANO,CHOCO,CARRERA 3A # 2-10
BARBACOAS,OCCIDENTE,BARBACOAS,NARIÑO,CARRERA 8 # 4-36/70 PASO GRANDE - CALLE TOMAS CIPRIANO DE MOSQUERA
BARBOSA,ORIENTAL,BARBOSA,SANTANDER,CALLE 10 # 7-64
BARICHARA,SANTANDERES,BARICHARA,SANTANDER,CALLE 5 # 6-29
BARRANCABERMEJA,SANTANDERES,BARRANCABERMEJA,SANTANDER,CALLE 49 # 5-03 SECTOR COMERCIAL
BELEN,ORIENTAL,BELEN,BOYACA,CARRERA 5 # 6-07
BELLO,ANTIOQUIA,BELLO,ANTIOQUIA,CARRERA 51 # 51-47
BOLIVAR,ORIENTAL,BOLIVAR,SANTANDER,CARRERA 3N # 9-64
CIUDAD BOLIVAR,ANTIOQUIA,CIUDAD BOLIVAR,ANTIOQUIA,CALLE 50 # 48-36
BOLIVAR III,OCCIDENTE,BOLIVAR,CAUCA,CARRERA 5 # 5-21
BOSCONIA,COSTA,BOSCONIA,CESAR,CALLE 18  # 19-95
BARRANQUILLA PRINCIPAL,COSTA,BARRANQUILLA,ATLANTICO,CARRERA 46 # 45-50
BUCARAMANGA,SANTANDERES,BUCARAMANGA,SANTANDER,CALLE 35 # 17-30/34
CALARCA,CAFETERA,CALARCA,QUINDIO,CARRERA 24 # 39 -36
CALDAS,ANTIOQUIA,CALDAS,ANTIOQUIA,CALLE 130 SUR # 50-44/50
CALI SUCURSAL,OCCIDENTE,CALI,VALLE DEL CAUCA,CALLE 11 # 5-28
CALLE CIEN,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE 100 # 17A-11 EDIFICIO TUNDANZA
CAN,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE 44 # 54 - 82
CANDELARIA,OCCIDENTE,CANDELARIA,VALLE DEL CAUCA,CARRERA 8 #10-23
CAPARRAPI,BOGOTA,CAPARRAPI,CUNDINAMARCA,CARRERA 4 # 7-25
CAQUEZA,BOGOTA,CAQUEZA,CUNDINAMARCA,CARRERA 5 # 2-18
CARMEN DE VIBORAL,ANTIOQUIA,CARMEN DE VIBORAL,ANTIOQUIA,CARRERA 30 # 31-64
CARTAGENA,COSTA,CARTAGENA,BOLIVAR,CALLE 32 #9-45
CASTILLA LA NUEVA,BOGOTA,CASTILLA LA NUEVA,META,CARRERA 8 # 5–41/43 CENTRO
CAUCASIA,ANTIOQUIA,CAUCASIA,ANTIOQUIA,CALLE 20 # 10-57
CERETE,ANTIOQUIA,CERETE,CORDOBA,CALLE 13 A #9-65
CERRITO,OCCIDENTE,CERRITO,VALLE DEL CAUCA,CALLE 7 # 11 - 66
CHAPINERO,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 13 # 63-75/71
CHIGORODO,ANTIOQUIA,CHIGORODO,ANTIOQUIA,CALLE 97 # 102-30
AVENIDA CHILE,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE 72 # 10-51
CHIQUINQUIRA I,ORIENTAL,CHIQUINQUIRA,BOYACA,CALLE 17 # 8-42/44
CHIRIGUANA I,COSTA,CHIRIGUANA,CESAR,CALLE 8 # 2-152
CHOCONTA,BOGOTA,CHOCONTA,CUNDINAMARCA,CALLE 4 # 5-26
CIENAGA DE ORO,ANTIOQUIA,CIENAGA DE ORO,CORDOBA,CALLE 7 #16-04
CIMITARRA,SANTANDERES,CIMITARRA,SANTANDER,CALLE 6 # 4- 22
CIRCASIA,CAFETERA,CIRCASIA,QUINDIO,CALLE 6 # 13-60
CODAZZI I,COSTA,CODAZZI,CESAR,CALLE 17 # 16-51
CONTRATACION,SANTANDERES,CONTRATACION,SANTANDER,CALLE 5 # 3-20
CONVENCION,SANTANDERES,CONVENCION,NORTE DE SANTANDER,CALLE 5 # 6-41
COPACABANA,ANTIOQUIA,COPACABANA,ANTIOQUIA,CARRERA 51 # 49-31
CORABASTOS,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 86 # 24A-19 SUR LOCAL D
CORINTO,OCCIDENTE,CORINTO,CAUCA,CALLE 7 # 9-41
COROZAL,COSTA,COROZAL,SUCRE,CARRERA 25  # 27-29
CUBARRAL,BOGOTA,CUBARRAL,META,CALLE 9 # 8-03
CUCUTA I,SANTANDERES,CUCUTA,NORTE DE SANTANDER,CALLE 10 # 5-50 EDIFICIO AGROBANCARIO
CUMARAL,BOGOTA,CUMARAL,META,CARRERA 21 # 11-04
DON MATIAS,ANTIOQUIA,DON MATIAS,ANTIOQUIA,CALLE 30 # 29-06
DOSQUEBRADAS,CAFETERA,DOSQUEBRADAS,RISARALDA,CARRERA 16 # 27 - 08 LOCAL 01 CENTRO COMERCIAL YELLOW
DUITAMA,ORIENTAL,DUITAMA,BOYACA,CALLE 15 # 15-14 LOCAL 101
EL BAGRE,ANTIOQUIA,EL BAGRE,ANTIOQUIA,CARRERA 48 # 50-33
EL BANCO,COSTA,EL BANCO,MAGDALENA,CALLE 6 # 8-51
EL BORDO,OCCIDENTE,PATIA - EL BORDO,CAUCA,CARRERA 2 CALLE 6 ESQUINA
EL COCUY,ORIENTAL,EL COCUY,BOYACA,CALLE 8 # 3-64
EL COLEGIO,BOGOTA,EL COLEGIO,CUNDINAMARCA,CARRERA 6 # 9–50 / 58
EL COPEY,COSTA,EL COPEY,CESAR,CALLE 8 # 15-06 LOCAL 1 BARRIO CENTRO
EL DONCELLO,SUR,EL DONCELLO,CAQUETA,CALLE 4 # 3-40 BARRIO CENTRO
EL PEÑOL,ANTIOQUIA,EL PEÑOL,ANTIOQUIA,CARRERA 18 # 226 PARQUE PRINCIPAL
PLATO,COSTA,PLATO,MAGDALENA,"CALLE 4 CARRERA 12 ESQUINA, ALCALDÍA MUNICIPAL"
ESPINAL,SUR,ESPINAL,TOLIMA,CALLE 9 # 4-49/51 CENTRO
FACATATIVA,BOGOTA,FACATATIVA,CUNDINAMARCA,CARRERA 3 # 5-40
FILANDIA,CAFETERA,FILANDIA,QUINDIO,CALLE 7 # 4-52
FLORENCIA I,SUR,FLORENCIA,CAQUETA,CARRERA 13 A # 11-15 Y CALLE 13 A # 13-14
FOMEQUE,BOGOTA,FOMEQUE,CUNDINAMARCA,CARRERA 4 # 4-55
FORTUL,BOGOTA,FORTUL,ARAUCA,CALLE 7 # 23-17
FRONTINO,ANTIOQUIA,FRONTINO,ANTIOQUIA,CARRERA 32 # 28-61
GACHETA,BOGOTA,GACHETA,CUNDINAMARCA,CARRERA 4 # 4-27
GARAGOA,ORIENTAL,GARAGOA,BOYACA,CARRERA 10 # 9-66 LOCAL 101
GIRON,SANTANDERES,GIRON,SANTANDER,CALLE 30 # 27-28
GRANADA,BOGOTA,GRANADA,META,CALLE 16 # 12-09 BARRIO CENTRO
GUACARI,OCCIDENTE,GUACARI,VALLE DEL CAUCA,CALLE 4 # 8-42
GUAMAL,BOGOTA,GUAMAL,META,CALLE 12 # 4-06/10
GUARNE,ANTIOQUIA,GUARNE,ANTIOQUIA,CALLE 50 # 50-3/15
GUASCA,BOGOTA,GUASCA,CUNDINAMARCA,CARRERA 4 # 3-35/45
GUATAVITA,BOGOTA,GUATAVITA,CUNDINAMARCA,PLAZA CIVICA -  GUATAVITA
GUATEQUE,ORIENTAL,GUATEQUE,BOYACA,CARRERA 7 # 10-05
SAN JOSE DEL GUAVIARE I,BOGOTA,SAN JOSE DEL GUAVIARE,GUAVIARE,CARRERA 24 # 7-50
GUAYABAL,SUR,GUAYABAL-ARMERO,TOLIMA,CARRERA 6 # 5-63
IBAGUE I,SUR,IBAGUE,TOLIMA,CALLE 15 # 3-26
LA JAGUA DE IBIRICO I,COSTA,LA JAGUA DE IBIRICO,CESAR,CARRERA 4 # 6-07
JIMENEZ I,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE 15 # 8-32
JIMENEZ II,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE 15 # 8-32
JUAN DE ACOSTA,COSTA,JUAN DE ACOSTA,ATLANTICO,CALLE 7  # 4-106
LA CALERA,BOGOTA,LA CALERA,CUNDINAMARCA,CALLE 7 # 3-40/46
LA ESTRELLA,ANTIOQUIA,LA ESTRELLA,ANTIOQUIA,CALLE 80 SUR # 60 - 26 PARQUE PRINCIPAL
LA HORMIGA I,SUR,LA HORMIGA-VALLE DEL GUAMUEZ,PUTUMAYO,CARRERA 6 # 7-07  BARRIO LOS PINOS
LA PLATA,SUR,LA PLATA,HUILA,CARRERA 4 # 3-34
LA UNION,ANTIOQUIA,LA UNION,ANTIOQUIA,CALLE 10 # 8-54
LANDAZURI,SANTANDERES,LANDAZURI,SANTANDER,CARRERA 6 # 6-04 PALACIO MUNICIPAL PISO 1
LETICIA,BOGOTA,LETICIA,AMAZONAS,CALLE 8 # 10-66/70
LORICA,ANTIOQUIA,LORICA,CORDOBA,CALLE 1 # 6-16
MAGANGUE,COSTA,MAGANGUE,BOLIVAR,TRANSVERSAL  3  # 3A-16/24
MAICAO I,COSTA,MAICAO,GUAJIRA,CALLE 12  # 9-12/12/16/18
MAJAGUAL,COSTA,MAJAGUAL,SUCRE,CALLE 5 # 4-74 CALLE CENTRAL
MALAGA,SANTANDERES,MALAGA,SANTANDER,CARRERA 9 # 15-09/19/25
MANAURE,COSTA,MANAURE,GUAJIRA,CALLE 3 # 3-36 BARRIO CENTRO
MANI,ORIENTAL,MANI,CASANARE,CALLE 18 # 3-25 PARQUE PRINCIPAL - MANI -CASANARE
MANIZALES,CAFETERA,MANIZALES,CALDAS,CALLE 23 #21-45 EDIFICIO BCH
MARIALABAJA,COSTA,MARIA LA BAJA,BOLIVAR,CALLE 19 # 12-36
MEDINA,BOGOTA,MEDINA,CUNDINAMARCA,CALLE 13 # 6-61
MIRAFLORES,ORIENTAL,MIRAFLORES,BOYACA,CARRERA 7 # 3-40
MITU I,BOGOTA,MITU,VAUPES,CALLE 16 # 3-78 BARRIO CENTRO
MOCOA I,SUR,MOCOA,PUTUMAYO,CALLE 7 # 6 – 21 Esquina – Barrio Centro
MONIQUIRA,ORIENTAL,MONIQUIRA,BOYACA,CARRERA 5 # 18 - 45/53
MOMPOX,COSTA,MOMPOS,BOLIVAR,CARRERA 2 # 19-01 PALACIO MUNICIPAL
MONTERIA I,ANTIOQUIA,MONTERIA,CORDOBA,CARRERA 3 # 29-21
MONTERREY,ORIENTAL,MONTERREY,CASANARE,CARRERA 7 # 15-48/69
MORALES,OCCIDENTE,MORALES,CAUCA,CALLE 4 # 4-30 CALLE PRINCIPAL MORALES.
NATAGAIMA,SUR,NATAGAIMA,TOLIMA,CALLE 6 # 6-08 FRENTE AL PARQUE PRINCIPAL
NECOCLÍ,ANTIOQUIA,NECOCLI,ANTIOQUIA,CALLE 50 # 49/60/62/64/66/68
NEIVA I,SUR,NEIVA,HUILA,CALLE 7 # 6-27
NOCAIMA,BOGOTA,NOCAIMA,CUNDINAMARCA,CARRERA 6 # 6-49
OCAÑA,SANTANDERES,OCAÑA,NORTE DE SANTANDER,CARRERA 12 # 11-02
ORITO I,SUR,ORITO,PUTUMAYO,BARRIO MARCO FIDEL SUAREZ CALLE 8
PAIPA,ORIENTAL,PAIPA,BOYACA,CALLE 25 # 19-122/128
PALMIRA,OCCIDENTE,PALMIRA,VALLE DEL CAUCA,CALLE 30 # 26-62
PAMPLONA,SANTANDERES,PAMPLONA,NORTE DE SANTANDER,CALLE 6 # 6-58
PASTO I,OCCIDENTE,PASTO,NARIÑO,CALLE 18 # 21A-20 - LOCAL 6 COMPLEJO BANCARIO
PAZ DE ARIPORO I,ORIENTAL,PAZ DE ARIPORO,CASANARE,CARRERA 8 # 10-10 - CALLE 4 # 10-62
PEREIRA,CAFETERA,PEREIRA,RISARALDA,CALLE 19 # 8-58
PIENDAMO,OCCIDENTE,PIENDAMO,CAUCA,CARRERA 3 CALLE 8
PITALITO I,SUR,PITALITO,HUILA,CALLE 6 # 5-17 PISOS 1 Y 2
PLANADAS,SUR,PLANADAS,TOLIMA,CARRERA 6 # 5-43        CARRERA 6 # 8-40
PLANETA RICA,ANTIOQUIA,PLANETA RICA,CORDOBA,CARRERA 8 # 18-11 0 CALLE PRINCIPAL
POPAYAN,OCCIDENTE,POPAYAN,CAUCA,CALLE 4 # 7-03
BARRANQUILLA PRADO,COSTA,BARRANQUILLA,ATLANTICO,CARRERA 53 # 68B -13
PUENTE ARANDA,BOGOTA,BOGOTA,CUNDINAMARCA,CALLE 13 # 60-60
PUERTO BERRIO,ANTIOQUIA,PUERTO BERRIO,ANTIOQUIA,CALLE 6 # 5-12/16/18/22
PUERTO CARRENO,BOGOTA,PUERTO CARREÑO,VICHADA,CARRERA 9A # 18 - 01/03
PUERTO GAITAN I,BOGOTA,PUERTO GAITAN,META,CALLE 8 # 15-07
PUERTO INIRIDA I,BOGOTA,PUERTO INIRIDA,GUAINIA,CARRERA 2A AVENIDA FUNDADORES - FRENTE AL PALACIO GUBERNAMENTAL
PUERTO LOPEZ,BOGOTA,PUERTO LOPEZ,META,CALLE 5 # 5-41 CENTRO
PUERTO SALGAR,CAFETERA,PUERTO SALGAR,CUNDINAMARCA,CALLE 11 #12-17
PUERTO TEJADA,OCCIDENTE,PUERTO TEJADA,CAUCA,CARRERA 20 CALLE 15 Y 14
PUERTO TRIUNFO,ANTIOQUIA,PUERTO TRIUNFO,ANTIOQUIA,CARRERA 11 # 10-17
PUERTO WILCHES,SANTANDERES,PUERTO WILCHES,SANTANDER,CARRERA 2 # 2-100 BARRIO EL CENTRO
PUERTO ASIS I,SUR,PUERTO ASIS,PUTUMAYO,CALLE 11 #19-33
PUERTO NARE,ANTIOQUIA,PUERTO NARE,ANTIOQUIA,CALLE 50 # 2-13
PUERTO RICO,SUR,PUERTO RICO,CAQUETA,CARRERA 6 # 5-01
PURIFICACION,SUR,PURIFICACION,TOLIMA,CARRERA 4 # 7-13
QUIBDO,ANTIOQUIA,QUIBDO,CHOCO,CALLE 24 # 3-04
QUIMBAYA,CAFETERA,QUIMBAYA,QUINDIO,CALLE 15 # 5-65 PARQUE PRINCIPAL
RAMIRIQUI,ORIENTAL,RAMIRIQUI,BOYACA,CALLE 7 # 5-55/57 PARQUE PRINCIPAL
REMEDIOS,ANTIOQUIA,REMEDIOS,ANTIOQUIA,CALLE 10 # 9-62 PRIMER PISO PALACIO MUNICIPAL
RESTREPO,BOGOTA,BOGOTA,CUNDINAMARCA,CARRERA 18 # 15-31/37 SUR
RICAURTE,OCCIDENTE,RICAURTE,NARIÑO,CALLE PRINCIPAL RICAURTE
RIO DE ORO,SANTANDERES,RIO DE ORO,CESAR,PARQUE PRINCIPAL
RIOBLANCO,SUR,RIOBLANCO,TOLIMA,CALLE 3 # 5-29
RIOHACHA,COSTA,RIOHACHA,GUAJIRA,CALLE 2 # 6-67/69
RIOSUCIO,CAFETERA,RIOSUCIO,CALDAS,CALLE 8 # 7-60 ESQUINA PLAZA LA CANDELARIA
ROLDANILLO,CAFETERA,ROLDANILLO,VALLE DEL CAUCA,CALLE 8 # 7-31 PLAZA PRINCIPAL
SAN VICENTE DE CHUCURI,SANTANDERES,SAN VICENTE DE CHUCURI,SANTANDER,CARRERA  10 # 9-36
SAN JUAN DEL CESAR,COSTA,SAN JUAN DEL CESAR,GUAJIRA,CALLE 5 # 2-24/38
SAN PEDRO DE URABA,ANTIOQUIA,SAN PEDRO DE URABA,ANTIOQUIA,CARRERA 50 # 50-33/35 PARQUE PRINCIPAL
SANTANDER DE QUILICHAO,OCCIDENTE,SANTANDER DE QUILICHAO,CAUCA,CALLE 4 # 9-06
SAN VICENTE DEL CAGUAN I,SUR,SAN VICENTE DEL CAGUAN,CAQUETA,CARRERA 5 # 4-01/03/04
SABANA DE TORRES,SANTANDERES,SABANA DE TORRES,SANTANDER,CALLE 13 # 10-44
SABOYA,ORIENTAL,SABOYA,BOYACA,CARRERA 10 # 6 - 45
SAHAGUN,ANTIOQUIA,SAHAGUN,CORDOBA,CALLE 14 # 11-29
SALDAÑA,SUR,SALDAÑA,TOLIMA,CALLE 12 # 14A-15
SALENTO,CAFETERA,SALENTO,QUINDIO,CALLE 6 # 6-20    CARRERA 7 # 5-21 PLAZA PRINCIPAL CALLE 7 # 7-21
SAMACA,ORIENTAL,SAMACA,BOYACA,CARRERA 6 # 4-65
SAMANA,CAFETERA,SAMANA,CALDAS,CALLE 7 # 7-78
SAMANIEGO,OCCIDENTE,SAMANIEGO,NARIÑO,CASA PASTORAL PEDRO SHUMACHER CALLE 7 CARRERA 8     PASAJE PEATONAL PARQUE SOLANDINO
SAMPUES,COSTA,SAMPUES,SUCRE,CARRERA 20  # 23-76 CALLE REAL
SAN AGUSTIN,SUR,SAN AGUSTIN,HUILA,CARRERA 13 # 3-72
SAN ALBERTO,SANTANDERES,SAN ALBERTO,CESAR,CARRERA 2 # 6-54  ESQUINA   CALLE 6 # 3 -20 PARQUE PRINCIPAL
SAN CARLOS,ANTIOQUIA,SAN CARLOS,ANTIOQUIA,CALLE 21 # 19-18/20/24
SAN GIL,SANTANDERES,SAN GIL,SANTANDER,CALLE 12 # 9-77 SAN GIL
SAN_MARTIN,BOGOTA,SAN MARTIN,META,CARRERA 7 # 5-68
SAN ONOFRE I,COSTA,SAN ONOFRE,SUCRE,CARRERA 19 # 20-65 PLAZA PRINCIPAL
SAN_PABLO,SANTANDERES,SAN PABLO,BOLIVAR,CALLE 18 # 6 - 46
SAN PEDRO DE LOS MILAGROS,ANTIOQUIA,SAN PEDRO DE LOS MILAGROS,ANTIOQUIA,CALLE 50 # 50-08 PISO 2 LOCAL 201
SAN_RAFAEL,ANTIOQUIA,SAN RAFAEL,ANTIOQUIA,CALLE 31 # 29-22
SAN VICENTE,ANTIOQUIA,SAN VICENTE,ANTIOQUIA,CARRERA 29 # 29-26/81 PRIMER PISO PALACIO MUNICIPAL
SANDONA,OCCIDENTE,SANDONA,NARIÑO,CARRERA 5 # 6-13
SAN FRANCISCO,BOGOTA,SAN FRANCISCO,CUNDINAMARCA,CARRERA 6 # 3-09
SANTO TOMAS,COSTA,SANTO TOMAS,ATLANTICO,CARRERA 11  # 3-34
SANTUARIO,ANTIOQUIA,SANTUARIO,ANTIOQUIA,CARRERA 50 # 50-35/37
SARAVENA I,BOGOTA,SARAVENA,ARAUCA,CARRERA 15 # 26-53/55/57
SASAIMA,BOGOTA,SASAIMA,CUNDINAMARCA,CARRERA 4 # 7-75
SEGOVIA,ANTIOQUIA,SEGOVIA,ANTIOQUIA,CARRERA 50 # 50-12 PALACIO MUNICIPAL.
SEVILLA,CAFETERA,SEVILLA,VALLE DEL CAUCA,CARRERA 49 # 50 - 08
SIBUNDOY,SUR,SIBUNDOY,PUTUMAYO,CALLE 18 # 15-59
SILVANIA,BOGOTA,SILVANIA,CUNDINAMARCA,CALLE 10 # 4-29
SILVIA,OCCIDENTE,SILVIA,CAUCA,CARRERA 3 # 10-32
